tmc_code,measurement_tstamp,speed,average_speed,reference_speed,travel_time_minutes,confidence_score,cvalue
110+05755,6/1/13 15:45,24.33,20,34,0.54,30,82.27
110+04614,6/1/13 15:45,63.33,61,62,0.14,30,100
110-05754,6/1/13 16:00,34.27,32,36,0.39,30,100
110N04161,6/1/13 16:00,48.53,46,47,0.03,30,97.87
110+05757,6/1/13 16:00,36,36,38,0.74,27.33,73.33
110+04131,6/1/13 16:00,45.33,38,47,0.01,30,61.27
110N04645,6/1/13 16:00,58.93,58,62,0.62,29.33,93.33
110+04614,6/1/13 16:00,60.93,59,62,0.14,30,100
110N04131,6/1/13 16:00,53.8,48,52,0.45,30,92.07
110+10238,6/1/13 16:00,30.4,32,32,0.12,24,33.33
110-10237,6/1/13 16:00,27,27,32,0.13,20,0
110-04614,6/1/13 16:00,64.07,59,64,0.16,30,100
110P04161,6/1/13 16:00,40,40,42,0.03,20,0
110+05755,6/1/13 16:00,26.4,20,34,0.5,30,75.73
110P04131,6/1/13 16:00,48.33,40,47,0.54,30,65.6
110-05756,6/1/13 16:00,32.67,35,38,0.82,30,72.93
110P04645,6/1/13 16:00,68.13,61,61,0.71,30,60.87
110+04303,6/1/13 16:00,61.33,58,60,0.08,27.33,73.33
110N04131,6/1/13 16:15,49.4,48,52,0.49,30,100
110P04161,6/1/13 16:15,40.6,40,42,0.03,29.33,93.33
110+05755,6/1/13 16:15,22.4,20,34,0.59,30,100
110N04161,6/1/13 16:15,39.6,46,47,0.04,30,90.93
110P04645,6/1/13 16:15,65.53,61,61,0.73,30,95.8
110-05756,6/1/13 16:15,33.33,35,38,0.81,30,100
110P04131,6/1/13 16:15,46.6,40,47,0.56,30,100
110-05754,6/1/13 16:15,34.6,32,36,0.38,30,100
110+05757,6/1/13 16:15,32.53,36,38,0.82,30,100
110-04614,6/1/13 16:15,61.93,59,64,0.16,30,100
110+04303,6/1/13 16:15,60.27,58,60,0.09,27.33,73.33
110+04131,6/1/13 16:15,47.87,38,47,0.01,30,100
110+04614,6/1/13 16:15,60.07,59,62,0.14,30,100
110+10238,6/1/13 16:15,28.27,32,32,0.13,29.33,93.33
110-10237,6/1/13 16:15,27,27,32,0.13,20,0
110N04645,6/1/13 16:15,59.33,58,62,0.62,30,100
110+04614,6/1/13 16:30,46.4,59,62,0.19,30,66.67
110-10237,6/1/13 16:30,26.6,27,32,0.13,22,13.33
110P04161,6/1/13 16:30,40.67,40,42,0.03,30,100
110+10238,6/1/13 16:30,32,32,32,0.11,20,0
110+04131,6/1/13 16:30,44.13,38,47,0.01,30,96.73
110N04161,6/1/13 16:30,38.93,46,47,0.04,30,77.47
110N04131,6/1/13 16:30,46.53,48,52,0.52,30,76.4
110-04614,6/1/13 16:30,62.07,59,64,0.16,30,100
110N04645,6/1/13 16:30,56.2,58,62,0.65,30,74.87
110P04131,6/1/13 16:30,44.6,40,47,0.58,30,94.13
110+04303,6/1/13 16:30,55,58,60,0.09,30,100
110-05756,6/1/13 16:30,34.07,35,38,0.79,25.33,53.33
110-05754,6/1/13 16:30,35.4,32,36,0.37,30,100
110+05757,6/1/13 16:30,35.13,36,38,0.76,30,100
110P04645,6/1/13 16:30,61.67,61,61,0.78,30,100
110+05755,6/1/13 16:30,24.53,20,34,0.54,30,100
110P04645,6/1/13 16:45,64,61,61,0.75,30,100
110N04161,6/1/13 16:45,50.27,46,47,0.03,30,46.2
110P04131,6/1/13 16:45,43.07,40,47,0.6,30,100
110-05756,6/1/13 16:45,35,35,38,0.77,30,100
110+10238,6/1/13 16:45,32,32,32,0.11,20,0
110+05755,6/1/13 16:45,25.53,20,34,0.52,30,100
110P04161,6/1/13 16:45,39.93,40,42,0.03,29.33,93.33
110N04645,6/1/13 16:45,63.07,58,62,0.58,30,81.6
110-10237,6/1/13 16:45,26.33,27,32,0.14,30,100
110N04131,6/1/13 16:45,41.93,48,52,0.58,30,52.87
110+04614,6/1/13 16:45,25,59,62,0.35,30,55.2
110+04303,6/1/13 16:45,57,58,60,0.09,30,100
110-04614,6/1/13 16:45,62.67,59,64,0.16,30,100
110-05754,6/1/13 16:45,33.33,32,36,0.4,30,100
110+05757,6/1/13 16:45,36,36,38,0.74,30,100
110+04131,6/1/13 16:45,42.4,38,47,0.01,30,95.93
110N04131,6/1/13 17:00,49.93,48,52,0.49,30,100
110P04161,6/1/13 17:00,40.47,40,42,0.03,30,100
110+05757,6/1/13 17:00,36,36,38,0.74,26,60
110+04131,6/1/13 17:00,48.8,38,47,0.01,30,76.53
110-05754,6/1/13 17:00,31.53,31,36,0.42,30,100
110P04131,6/1/13 17:00,47.13,41,47,0.55,30,91.53
110-04614,6/1/13 17:00,62,58,64,0.16,30,100
110+04303,6/1/13 17:00,59,59,60,0.09,20,0
110+04614,6/1/13 17:00,23.47,58,62,0.37,30,91.27
110-05756,6/1/13 17:00,35.47,35,38,0.76,30,100
110P04645,6/1/13 17:00,64.6,60,61,0.74,30,100
110+05755,6/1/13 17:00,30.6,20,34,0.43,30,70.67
110+10238,6/1/13 17:00,30,30,32,0.12,20,0
110N04161,6/1/13 17:00,44.6,46,47,0.03,30,94.27
110N04645,6/1/13 17:00,59.13,57,62,0.62,30,97.67
110-10237,6/1/13 17:00,29,29,32,0.12,21.33,13.33
110N04645,6/1/13 17:15,63.8,57,62,0.57,30,74.6
110+05755,6/1/13 17:15,21.6,20,34,0.61,30,100
110P04161,6/1/13 17:15,39.07,40,42,0.03,30,100
110+05757,6/1/13 17:15,33.67,36,38,0.79,24.67,32.27
110N04131,6/1/13 17:15,49.73,48,52,0.49,30,100
110-05754,6/1/13 17:15,27.87,31,36,0.47,30,55.4
110P04131,6/1/13 17:15,40.67,41,47,0.64,30,100
110-04614,6/1/13 17:15,64.53,58,64,0.15,30,100
110+04303,6/1/13 17:15,51.2,59,60,0.1,28.67,54.47
110P04645,6/1/13 17:15,65.8,60,61,0.73,30,100
110-05756,6/1/13 17:15,35.73,35,38,0.75,27.33,73.33
110+10238,6/1/13 17:15,30,30,32,0.12,20,0
110N04161,6/1/13 17:15,43.93,46,47,0.03,30,100
110+04614,6/1/13 17:15,22.13,58,62,0.39,30,83.13
110+04131,6/1/13 17:15,41.27,38,47,0.01,29.33,91.67
110-10237,6/1/13 17:15,29,29,32,0.12,20,0
