tmc_code,measurement_tstamp,speed,average_speed,reference_speed,travel_time_minutes,confidence_score,cvalue
110P04645,6/13/13 19:00,61.33,57,61,0.78,30,100
110P04161,6/13/13 19:00,39.87,36,42,0.03,30,100
110-10237,6/13/13 19:00,29,29,32,0.12,20,0
110+05755,6/13/13 19:00,32.27,18,34,0.41,30,86.93
110N04131,6/13/13 19:00,49.73,39,52,0.49,30,77.73
110+10238,6/13/13 19:00,31.93,25,32,0.11,28.67,77.73
110N04645,6/13/13 19:00,62.13,53,62,0.59,30,85.53
110+05757,6/13/13 19:00,34.8,35,38,0.77,26,60
110N04131,6/13/13 19:15,52.33,39,52,0.47,30,89.07
110+05755,6/13/13 19:15,30.67,18,34,0.43,30,99.73
110P04161,6/13/13 19:15,41.6,36,42,0.03,30,100
110+04614,6/13/13 19:15,68.6,31,62,0.13,30,52.07
110-10237,6/13/13 19:15,29,29,32,0.12,28.67,80
110+04303,6/13/13 19:15,57.33,50,60,0.09,30,100
110P04131,6/13/13 19:15,48.8,36,47,0.53,30,100
110-04614,6/13/13 19:15,64.67,39,64,0.15,30,99.93
110N04645,6/13/13 19:15,60.6,53,62,0.6,30,87.8
110-05754,6/13/13 19:15,35.07,29,36,0.38,28.67,86.67
110+05757,6/13/13 19:15,34.87,35,38,0.77,23.33,33.33
110+10238,6/13/13 19:15,25,25,32,0.14,20,0
110-05756,6/13/13 19:15,39.33,35,38,0.69,30,100
110P04645,6/13/13 19:15,64.6,57,61,0.74,30,100
110N04161,6/13/13 19:15,47.53,42,47,0.03,30,100
110+04131,6/13/13 19:15,51.27,33,47,0.01,30,93.53
110+04614,6/13/13 19:30,64.67,31,62,0.13,30,92.47
110+05755,6/13/13 19:30,27.73,18,34,0.48,30,100
110N04131,6/13/13 19:30,51.27,39,52,0.48,30,89.67
110-10237,6/13/13 19:30,29,29,32,0.12,24,40
110+04303,6/13/13 19:30,56.33,50,60,0.09,30,100
110P04131,6/13/13 19:30,51.07,36,47,0.51,30,79.53
110P04161,6/13/13 19:30,40.67,36,42,0.03,30,100
110-05756,6/13/13 19:30,38.6,35,38,0.7,30,89.13
110+10238,6/13/13 19:30,25,25,32,0.14,20,0
110N04645,6/13/13 19:30,69.2,53,62,0.53,30,51
110+05757,6/13/13 19:30,34.8,35,38,0.77,30,100
110-05754,6/13/13 19:30,35.8,29,36,0.37,29.33,88.73
110-04614,6/13/13 19:30,64.07,39,64,0.16,30,100
110N04161,6/13/13 19:30,43.27,42,47,0.03,30,100
110P04645,6/13/13 19:30,63.8,57,61,0.75,30,100
110+04131,6/13/13 19:30,51.27,33,47,0.01,30,95.67
110-10237,6/13/13 19:45,29,29,32,0.12,20,0
110N04645,6/13/13 19:45,62.6,53,62,0.59,30,95.93
110P04161,6/13/13 19:45,43.8,36,42,0.03,30,80.27
110-05754,6/13/13 19:45,32.67,29,36,0.4,30,100
110+05755,6/13/13 19:45,32.33,18,34,0.41,30,100
110+04303,6/13/13 19:45,58.2,50,60,0.09,30,100
110P04131,6/13/13 19:45,49.47,36,47,0.52,30,96.67
110N04161,6/13/13 19:45,43,42,47,0.03,30,100
110-04614,6/13/13 19:45,61.53,39,64,0.16,30,100
110N04131,6/13/13 19:45,50.93,39,52,0.48,30,93.2
110+04131,6/13/13 19:45,52.53,33,47,0.01,30,88.93
110P04645,6/13/13 19:45,64.33,57,61,0.75,30,100
110+04614,6/13/13 19:45,64.13,31,62,0.13,30,99.87
110-05756,6/13/13 19:45,36.47,35,38,0.74,29.33,93.33
110+10238,6/13/13 19:45,25,25,32,0.14,20,0
110+05757,6/13/13 19:45,36,35,38,0.74,30,100
110+05757,6/13/13 20:00,39.2,36,38,0.68,30,100
110-05756,6/13/13 20:00,35,35,38,0.77,28,80
110+04131,6/13/13 20:00,47.2,40,47,0.01,30,79.53
110-10237,6/13/13 20:00,32,32,32,0.11,20,0
110P04645,6/13/13 20:00,66.87,60,61,0.72,30,93.53
110N04131,6/13/13 20:00,51.53,49,52,0.47,30,100
110+05755,6/13/13 20:00,28.4,28,34,0.47,30,100
110P04161,6/13/13 20:00,42.2,38,42,0.03,30,94.73
110N04161,6/13/13 20:00,42,46,47,0.03,30,92.6
110+04614,6/13/13 20:00,63.47,51,62,0.14,30,100
110-05754,6/13/13 20:00,32.67,31,36,0.4,30,99.47
110P04131,6/13/13 20:00,46.2,44,47,0.56,30,100
110+10238,6/13/13 20:00,28,28,32,0.13,20,0
110+04303,6/13/13 20:00,56.6,56,60,0.09,22,20
110N04645,6/13/13 20:00,61.87,58,62,0.59,30,98.53
110-04614,6/13/13 20:00,63.87,59,64,0.16,30,100
110+04614,6/13/13 20:15,63,51,62,0.14,30,100
110-04614,6/13/13 20:15,64.53,59,64,0.15,30,100
110-10237,6/13/13 20:15,32,32,32,0.11,20,0
110+04303,6/13/13 20:15,57.47,56,60,0.09,27.33,73.33
110+04131,6/13/13 20:15,49.27,40,47,0.01,30,98.93
110P04645,6/13/13 20:15,62.73,60,61,0.77,30,100
110-05756,6/13/13 20:15,35.53,35,38,0.76,26.67,66.67
110N04161,6/13/13 20:15,44.4,46,47,0.03,30,100
110P04161,6/13/13 20:15,41.4,38,42,0.03,30,100
110+05755,6/13/13 20:15,29,28,34,0.46,30,100
110+05757,6/13/13 20:15,37.47,36,38,0.71,30,100
110-05754,6/13/13 20:15,35.67,31,36,0.37,30,84.6
110+10238,6/13/13 20:15,28,28,32,0.13,20,0
110N04645,6/13/13 20:15,58.07,58,62,0.63,30,100
110P04131,6/13/13 20:15,47.73,44,47,0.54,30,100
110N04131,6/13/13 20:15,51.13,49,52,0.48,30,100
110+04303,6/13/13 20:30,56.8,56,60,0.09,24,40
110-10237,6/13/13 20:30,32,32,32,0.11,20,0
110P04131,6/13/13 20:30,46.27,44,47,0.56,30,100
110+04131,6/13/13 20:30,44.53,40,47,0.01,30,98.13
110-05754,6/13/13 20:30,33.67,31,36,0.39,30,93.87
110N04161,6/13/13 20:30,46.07,46,47,0.03,30,100
110P04645,6/13/13 20:30,63.47,60,61,0.76,30,100
110-04614,6/13/13 20:30,69.13,59,64,0.14,30,100
110-05756,6/13/13 20:30,37.6,35,38,0.72,30,100
110P04161,6/13/13 20:30,39.73,38,42,0.03,30,99.8
110+10238,6/13/13 20:30,28,28,32,0.13,20,0
110+05755,6/13/13 20:30,29,28,34,0.46,30,100
110+05757,6/13/13 20:30,35.73,36,38,0.75,30,100
110+04614,6/13/13 20:30,69.2,51,62,0.12,30,100
110N04645,6/13/13 20:30,62,58,62,0.59,30,87.6
110N04131,6/13/13 20:30,47.87,49,52,0.51,30,100
110-05756,6/13/13 20:45,37,35,38,0.73,24,40
110N04161,6/13/13 20:45,50.8,46,47,0.03,30,74.33
110+04131,6/13/13 20:45,54.47,40,47,0.01,30,58.73
110-05754,6/13/13 20:45,35.4,31,36,0.37,30,92.87
110+10238,6/13/13 20:45,28,28,32,0.13,20,0
110N04645,6/13/13 20:45,59.33,58,62,0.62,30,100
110+05757,6/13/13 20:45,34.4,36,38,0.78,30,94.33
110+05755,6/13/13 20:45,30.8,28,34,0.43,30,100
110P04161,6/13/13 20:45,39.27,38,42,0.03,30,100
110+04303,6/13/13 20:45,56,56,60,0.09,20,0
110P04131,6/13/13 20:45,48.93,44,47,0.53,30,96.2
110+04614,6/13/13 20:45,59.47,51,62,0.15,30,100
110-04614,6/13/13 20:45,69.87,59,64,0.14,30,93.33
110-10237,6/13/13 20:45,32,32,32,0.11,20,0
110P04645,6/13/13 20:45,62.53,60,61,0.77,30,100
110N04131,6/13/13 20:45,50.2,49,52,0.49,30,100
110+05755,6/13/13 21:00,30.73,28,34,0.43,30,100
110P04161,6/13/13 21:00,41.2,38,42,0.03,30,100
110P04131,6/13/13 21:00,47.8,44,47,0.54,30,100
110-05756,6/13/13 21:00,35.53,36,38,0.76,29.33,93.33
110-05754,6/13/13 21:00,32.4,30,36,0.41,30,100
110+05757,6/13/13 21:00,36.6,36,38,0.73,26.67,66.67
110+04303,6/13/13 21:00,57,57,60,0.09,20,0
110-10237,6/13/13 21:00,26,26,32,0.14,20,0
110N04161,6/13/13 21:00,47.07,46,47,0.03,30,93.67
110+04614,6/13/13 21:00,60.2,59,62,0.14,30,100
110-04614,6/13/13 21:00,66.07,62,64,0.15,30,99.6
110N04131,6/13/13 21:00,49.8,50,52,0.49,30,100
110N04645,6/13/13 21:00,62.33,58,62,0.59,30,89.6
110+10238,6/13/13 21:00,28,28,32,0.13,20,0
110P04645,6/13/13 21:00,63.2,60,61,0.76,30,100
110+04131,6/13/13 21:00,50.73,39,47,0.01,30,85.8
110+04131,6/13/13 21:15,47.4,39,47,0.01,30,99.33
110P04645,6/13/13 21:15,63.13,60,61,0.76,30,99
110N04161,6/13/13 21:15,45.73,46,47,0.03,30,100
110P04131,6/13/13 21:15,44.93,44,47,0.58,30,100
110-05756,6/13/13 21:15,51.53,36,38,0.52,30,45.27
110+04614,6/13/13 21:15,60,59,62,0.14,30,100
110+05755,6/13/13 21:15,32.8,28,34,0.4,30,78.07
110+05757,6/13/13 21:15,34.53,36,38,0.77,30,96.4
110+04303,6/13/13 21:15,57,57,60,0.09,20,0
110+10238,6/13/13 21:15,28,28,32,0.13,20,0
110-04614,6/13/13 21:15,61.67,62,64,0.16,30,100
110P04161,6/13/13 21:15,41.2,38,42,0.03,30,100
110N04131,6/13/13 21:15,49.73,50,52,0.49,30,100
110-05754,6/13/13 21:15,34,30,36,0.39,30,100
110N04645,6/13/13 21:15,60.67,58,62,0.6,30,100
110-10237,6/13/13 21:15,26,26,32,0.14,20,0
110-05756,6/13/13 21:30,34.47,36,38,0.78,30,84.07
110+05757,6/13/13 21:30,36,36,38,0.74,24.67,46.67
110P04131,6/13/13 21:30,44.53,44,47,0.58,30,100
110+04614,6/13/13 21:30,62.2,59,62,0.14,30,100
110N04161,6/13/13 21:30,42.8,46,47,0.03,30,100
110N04131,6/13/13 21:30,52.33,50,52,0.47,30,100
110N04645,6/13/13 21:30,60.53,58,62,0.61,30,98.13
110-05754,6/13/13 21:30,35.6,30,36,0.37,30,100
110+04303,6/13/13 21:30,57,57,60,0.09,20,0
110-10237,6/13/13 21:30,26,26,32,0.14,20,0
110-04614,6/13/13 21:30,62.4,62,64,0.16,30,100
110+05755,6/13/13 21:30,28.47,28,34,0.46,30,100
110P04161,6/13/13 21:30,39.73,38,42,0.03,30,100
110+04131,6/13/13 21:30,42.13,39,47,0.01,30,100
110+10238,6/13/13 21:30,28,28,32,0.13,20,0
110P04645,6/13/13 21:30,62.47,60,61,0.77,30,100
110-05756,6/13/13 21:45,60.67,36,38,0.44,28,27.53
110+05757,6/13/13 21:45,36,36,38,0.74,20,0
110+04614,6/13/13 21:45,60.47,59,62,0.14,30,100
110-10237,6/13/13 21:45,26,26,32,0.14,20,0
110+04131,6/13/13 21:45,46.73,39,47,0.01,30,99.87
110+04303,6/13/13 21:45,55.27,57,60,0.09,22.67,11.47
110N04161,6/13/13 21:45,39.93,46,47,0.04,28,59.13
110N04131,6/13/13 21:45,47.33,50,52,0.51,30,94.73
110-05754,6/13/13 21:45,35.07,30,36,0.38,30,100
110N04645,6/13/13 21:45,59.93,58,62,0.61,30,83.67
110+05755,6/13/13 21:45,31.93,28,34,0.41,30,100
110P04161,6/13/13 21:45,37.47,38,42,0.03,30,100
110+10238,6/13/13 21:45,28,28,32,0.13,20,0
110P04645,6/13/13 21:45,61.53,60,61,0.78,30,100
110-04614,6/13/13 21:45,63.4,62,64,0.16,30,100
110P04131,6/13/13 21:45,48.2,44,47,0.54,30,100
110-04614,6/13/13 22:00,65,64,64,0.15,30,86.47
110+05755,6/13/13 22:00,33.13,34,34,0.4,30,88.47
110P04161,6/13/13 22:00,41.6,42,42,0.03,14,20
110P04131,6/13/13 22:00,47.47,47,47,0.55,30,97.2
110-10237,6/13/13 22:00,32,32,32,0.11,10,0
110+04303,6/13/13 22:00,57.07,60,60,0.09,30,94.33
110N04645,6/13/13 22:00,60.4,62,62,0.61,14,20
110+05757,6/13/13 22:00,38,38,38,0.7,10,0
110-05754,6/13/13 22:00,35.8,36,36,0.37,14,20
110N04131,6/13/13 22:00,50.87,52,52,0.48,30,84.53
110+10238,6/13/13 22:00,32,32,32,0.11,10,0
110P04645,6/13/13 22:00,60.8,61,61,0.79,30,93.33
110-05756,6/13/13 22:00,47.87,38,38,0.56,22,33.73
110+04614,6/13/13 22:00,64.8,62,62,0.13,30,83.87
110N04161,6/13/13 22:00,45.53,47,47,0.03,14,20
110+04131,6/13/13 22:00,48.67,47,47,0.01,22,43.53
110+05757,6/13/13 22:15,38,38,38,0.7,10,0
110-04614,6/13/13 22:15,63.6,64,64,0.16,30,99.2
110+04614,6/13/13 22:15,65.07,62,62,0.13,30,87.67
110-05754,6/13/13 22:15,35.8,36,36,0.37,27.33,86.27
110+10238,6/13/13 22:15,32,32,32,0.11,10,0
110P04645,6/13/13 22:15,63.73,61,61,0.75,30,87.07
110-05756,6/13/13 22:15,35.2,38,38,0.77,30,68.33
110N04161,6/13/13 22:15,47,47,47,0.03,10,0
110+04131,6/13/13 22:15,50.67,47,47,0.01,27.33,67.87
110+04303,6/13/13 22:15,57,60,60,0.09,30,99.27
110N04131,6/13/13 22:15,48.73,52,52,0.5,30,97.53
110-10237,6/13/13 22:15,32,32,32,0.11,10,0
110P04131,6/13/13 22:15,47.8,47,47,0.54,30,93.93
110+05755,6/13/13 22:15,34,34,34,0.39,10,0
110P04161,6/13/13 22:15,42,42,42,0.03,10,0
110N04645,6/13/13 22:15,59.67,62,62,0.61,19.33,41.6
110N04131,6/13/13 22:30,51.8,52,52,0.47,30,87.8
110N04161,6/13/13 22:30,47,47,47,0.03,10,0
110P04645,6/13/13 22:30,62.07,61,61,0.77,30,94.87
110-05756,6/13/13 22:30,38,38,38,0.71,26,67.27
110+04131,6/13/13 22:30,52.13,47,47,0.01,30,65.67
110N04645,6/13/13 22:30,59.13,62,62,0.62,30,90.07
110+10238,6/13/13 22:30,32,32,32,0.11,10,0
110+05757,6/13/13 22:30,35.6,38,38,0.75,26,80
110-05754,6/13/13 22:30,36.6,36,36,0.36,30,96.87
110-04614,6/13/13 22:30,61.87,64,64,0.16,30,85.53
110P04131,6/13/13 22:30,50.73,47,47,0.51,30,61.33
110+04303,6/13/13 22:30,56.2,60,60,0.09,27.33,84.73
110-10237,6/13/13 22:30,32,32,32,0.11,10,0
110+04614,6/13/13 22:30,67.13,62,62,0.13,30,78.27
110P04161,6/13/13 22:30,42,42,42,0.03,10,0
110+05755,6/13/13 22:30,30.13,34,34,0.44,26,66.53
110-05756,6/13/13 22:45,37.33,38,38,0.72,16.67,32.6
110P04645,6/13/13 22:45,62.4,61,61,0.77,30,98.27
110+04614,6/13/13 22:45,66.07,62,62,0.13,30,89.8
110+04303,6/13/13 22:45,59.47,60,60,0.09,12.67,13.2
110P04131,6/13/13 22:45,50.73,47,47,0.51,30,65.2
110P04161,6/13/13 22:45,42,42,42,0.03,10,0
110-10237,6/13/13 22:45,32,32,32,0.11,10,0
110-04614,6/13/13 22:45,65.47,64,64,0.15,30,86.47
110N04645,6/13/13 22:45,61.87,62,62,0.59,24.67,61.07
110-05754,6/13/13 22:45,35.87,36,36,0.37,27.33,82.73
110N04131,6/13/13 22:45,49.73,52,52,0.49,30,98.93
110+04131,6/13/13 22:45,51.4,47,47,0.01,30,66.73
110+05757,6/13/13 22:45,38,38,38,0.7,10,0
110+10238,6/13/13 22:45,32,32,32,0.11,10,0
110+05755,6/13/13 22:45,29.33,34,34,0.45,27.33,79.2
110N04161,6/13/13 22:45,47,47,47,0.03,10,0
110+10238,6/13/13 23:00,32,32,32,0.11,10,0
110+04303,6/13/13 23:00,60,60,60,0.09,10,0
110-10237,6/13/13 23:00,32,32,32,0.11,10,0
110P04131,6/13/13 23:00,47.07,47,47,0.55,30,81.47
110-04614,6/13/13 23:00,63.53,64,64,0.16,30,98.6
110+05757,6/13/13 23:00,38.4,38,38,0.69,12.67,6.53
110N04131,6/13/13 23:00,46.93,52,52,0.52,30,81.93
110-05754,6/13/13 23:00,35.2,36,36,0.38,30,96.27
110N04161,6/13/13 23:00,47,47,47,0.03,10,0
110N04645,6/13/13 23:00,61.87,62,62,0.59,30,87.73
110+04614,6/13/13 23:00,60.2,62,62,0.14,30,64.53
110+04131,6/13/13 23:00,47.13,47,47,0.01,30,80.33
110P04645,6/13/13 23:00,61.13,61,61,0.79,18,38
110-05756,6/13/13 23:00,35.4,38,38,0.76,30,96.07
110+05755,6/13/13 23:00,32.8,34,34,0.4,22,51.93
110P04161,6/13/13 23:00,42,42,42,0.03,10,0
110N04645,6/13/13 23:15,62.13,62,62,0.59,30,93.93
110N04161,6/13/13 23:15,47,47,47,0.03,10,0
110P04645,6/13/13 23:15,60.6,61,61,0.79,24.67,70
110-05756,6/13/13 23:15,37.27,38,38,0.72,27.33,69.53
110+05755,6/13/13 23:15,32.67,34,34,0.4,30,83.07
110-04614,6/13/13 23:15,64,64,64,0.16,30,98.93
110+10238,6/13/13 23:15,32,32,32,0.11,10,0
110P04161,6/13/13 23:15,41.33,42,42,0.03,23.33,53.33
110+05757,6/13/13 23:15,39.8,38,38,0.67,30,83.07
110+04614,6/13/13 23:15,62.73,62,62,0.14,30,90.27
110-05754,6/13/13 23:15,35.07,36,36,0.38,30,96.87
110P04131,6/13/13 23:15,47.47,47,47,0.55,30,82.67
110+04131,6/13/13 23:15,51.67,47,47,0.01,30,98.67
110+04303,6/13/13 23:15,60,60,60,0.09,10,0
110-10237,6/13/13 23:15,32,32,32,0.11,10,0
110N04131,6/13/13 23:15,54.2,52,52,0.45,30,78.8
110-05754,6/13/13 23:30,37.27,36,36,0.35,30,91.27
110-04614,6/13/13 23:30,63.73,64,64,0.16,30,99.53
110+05755,6/13/13 23:30,33.2,34,34,0.4,26,62.67
110+10238,6/13/13 23:30,32,32,32,0.11,10,0
110P04645,6/13/13 23:30,63.53,61,61,0.76,24.67,61.67
110+05757,6/13/13 23:30,38,38,38,0.7,18,38.4
110P04161,6/13/13 23:30,39.47,42,42,0.03,30,94.93
110+04131,6/13/13 23:30,48.53,47,47,0.01,30,94.8
110N04161,6/13/13 23:30,47,47,47,0.03,10,0
110+04614,6/13/13 23:30,63.27,62,62,0.14,22,56.8
110N04131,6/13/13 23:30,52.87,52,52,0.46,30,92.8
110P04131,6/13/13 23:30,45.27,47,47,0.57,30,81
110+04303,6/13/13 23:30,60,60,60,0.09,10,0
110-10237,6/13/13 23:30,32,32,32,0.11,10,0
110-05756,6/13/13 23:30,43.13,38,38,0.62,19.33,5.87
110N04645,6/13/13 23:30,61.2,62,62,0.6,30,95.33
110+05755,6/13/13 23:45,32.8,34,34,0.4,28.67,87.53
110P04161,6/13/13 23:45,40.73,42,42,0.03,19.33,45.73
110P04131,6/13/13 23:45,46.73,47,47,0.55,27.33,86.4
110N04131,6/13/13 23:45,51.93,52,52,0.47,11.33,6.67
110N04645,6/13/13 23:45,62.4,62,62,0.59,26,66
110+04614,6/13/13 23:45,62.6,62,62,0.14,28.67,93.33
110-04614,6/13/13 23:45,67.2,64,64,0.15,30,77.73
110+05757,6/13/13 23:45,38,38,38,0.7,10,0
110N04161,6/13/13 23:45,47,47,47,0.03,10,0
110-05754,6/13/13 23:45,36.33,36,36,0.36,16.67,29.8
110+10238,6/13/13 23:45,32,32,32,0.11,10,0
110P04645,6/13/13 23:45,61.6,61,61,0.78,22,60
110-05756,6/13/13 23:45,38,38,38,0.71,10,0
110-10237,6/13/13 23:45,32,32,32,0.11,10,0
110+04131,6/13/13 23:45,47.87,47,47,0.01,22,58.8
110+04303,6/13/13 23:45,60,60,60,0.09,10,0
110-05754,6/14/13 12:00,34.53,30,36,0.38,30,99.93
110N04645,6/14/13 12:00,61.8,58,62,0.59,30,90.73
110P04131,6/14/13 12:00,44,35,47,0.59,30,100
110+04131,6/14/13 12:00,48.13,31,47,0.01,30,96
110+05757,6/14/13 12:00,39.53,36,38,0.67,30,100
110+05755,6/14/13 12:00,26.8,26,34,0.49,30,100
110+04614,6/14/13 12:00,62.47,60,62,0.14,30,100
110+04303,6/14/13 12:00,57.73,56,60,0.09,30,100
110+10238,6/14/13 12:00,29.8,29,32,0.12,27.33,66.67
110P04161,6/14/13 12:00,42.73,40,42,0.03,30,100
110-04614,6/14/13 12:00,63.13,51,64,0.16,30,100
110-05756,6/14/13 12:00,35.67,37,38,0.76,30,100
110P04645,6/14/13 12:00,62.4,60,61,0.77,30,100
110-10237,6/14/13 12:00,27,23,32,0.13,30,100
110N04131,6/14/13 12:00,49.4,46,52,0.49,30,100
110N04161,6/14/13 12:00,43.73,45,47,0.03,30,100
110+04303,6/14/13 12:15,55.4,56,60,0.09,30,100
110+04614,6/14/13 12:15,60,60,62,0.14,30,100
110+05755,6/14/13 12:15,28.6,26,34,0.46,30,100
110P04161,6/14/13 12:15,40.93,40,42,0.03,30,100
110+04131,6/14/13 12:15,47.33,31,47,0.01,30,98
110P04645,6/14/13 12:15,61.4,60,61,0.78,30,100
110N04131,6/14/13 12:15,48.8,46,52,0.5,30,100
110N04645,6/14/13 12:15,61.07,58,62,0.6,30,100
110N04161,6/14/13 12:15,43.6,45,47,0.03,30,100
110+05757,6/14/13 12:15,35.8,36,38,0.75,30,100
110-05754,6/14/13 12:15,35.67,30,36,0.37,30,99.13
110+10238,6/14/13 12:15,29.93,29,32,0.12,24.67,46.67
110P04131,6/14/13 12:15,43.6,35,47,0.59,30,100
110-04614,6/14/13 12:15,62.47,51,64,0.16,30,100
110-05756,6/14/13 12:15,43.8,37,38,0.62,30,55.2
110-10237,6/14/13 12:15,23.53,23,32,0.15,21.33,13.33
110+04303,6/14/13 12:30,53.07,56,60,0.1,30,100
110N04131,6/14/13 12:30,48.2,46,52,0.51,30,95.67
110N04161,6/14/13 12:30,34.73,45,47,0.04,30,62.73
110-05754,6/14/13 12:30,32.07,30,36,0.41,30,100
110-04614,6/14/13 12:30,64.6,51,64,0.15,30,100
110-10237,6/14/13 12:30,23,23,32,0.16,20,0
110+04614,6/14/13 12:30,59.6,60,62,0.14,30,100
110+10238,6/14/13 12:30,29,29,32,0.12,20,0
110P04131,6/14/13 12:30,42.07,35,47,0.62,30,100
110+05755,6/14/13 12:30,25.87,26,34,0.51,30,100
110P04161,6/14/13 12:30,41,40,42,0.03,30,100
110+04131,6/14/13 12:30,45.13,31,47,0.01,30,100
110N04645,6/14/13 12:30,63.27,58,62,0.58,30,97.8
110+05757,6/14/13 12:30,36.87,36,38,0.72,30,100
110P04645,6/14/13 12:30,63.73,60,61,0.75,30,100
110-05756,6/14/13 12:30,36,37,38,0.75,30,100
110-05756,6/14/13 12:45,38.13,37,38,0.71,30,90.27
110-10237,6/14/13 12:45,29.53,23,32,0.12,29.33,93.33
110P04645,6/14/13 12:45,66.47,60,61,0.72,30,100
110-04614,6/14/13 12:45,68.4,51,64,0.15,30,100
110N04161,6/14/13 12:45,48.27,45,47,0.03,30,100
110+04303,6/14/13 12:45,59.07,56,60,0.09,30,100
110+04614,6/14/13 12:45,58.27,60,62,0.15,30,100
110+05755,6/14/13 12:45,27.13,26,34,0.49,30,100
110P04161,6/14/13 12:45,41.33,40,42,0.03,30,100
110+10238,6/14/13 12:45,29,29,32,0.12,20,0
110N04645,6/14/13 12:45,61.6,58,62,0.6,30,100
110+05757,6/14/13 12:45,36.93,36,38,0.72,30,100
110-05754,6/14/13 12:45,30.07,30,36,0.44,20.67,6.67
110N04131,6/14/13 12:45,51.13,46,52,0.48,30,95.47
110P04131,6/14/13 12:45,42.8,35,47,0.6,30,100
110+04131,6/14/13 12:45,46.13,31,47,0.01,30,98.73
110+05755,6/14/13 13:00,21.8,26,34,0.61,30,100
110+04614,6/14/13 13:00,59.93,59,62,0.14,30,100
110P04645,6/14/13 13:00,65.87,60,61,0.73,30,100
110-05756,6/14/13 13:00,34.73,37,38,0.78,30,100
110P04131,6/14/13 13:00,39.33,33,47,0.66,30,100
110N04131,6/14/13 13:00,49.27,44,52,0.49,30,100
110P04161,6/14/13 13:00,40.13,41,42,0.03,30,100
110-10237,6/14/13 13:00,23.6,25,32,0.15,30,100
110+10238,6/14/13 13:00,29,29,32,0.12,20,0
110+04303,6/14/13 13:00,53.07,55,60,0.1,30,96.87
110+04131,6/14/13 13:00,41.07,29,47,0.01,30,83.13
110+05757,6/14/13 13:00,31.27,37,38,0.85,30,100
110-04614,6/14/13 13:00,61.47,54,64,0.16,30,100
110N04161,6/14/13 13:00,42.6,45,47,0.03,30,100
110-05754,6/14/13 13:00,35.53,31,36,0.37,30,100
110N04645,6/14/13 13:00,61.53,57,62,0.6,30,99.2
110+04303,6/14/13 13:15,54.67,55,60,0.09,30,100
110+10238,6/14/13 13:15,29,29,32,0.12,20,0
110-05754,6/14/13 13:15,36.93,31,36,0.36,30,87.07
110+04614,6/14/13 13:15,61.27,59,62,0.14,30,100
110P04645,6/14/13 13:15,66.67,60,61,0.72,30,100
110-05756,6/14/13 13:15,35.87,37,38,0.75,30,100
110N04161,6/14/13 13:15,44.2,45,47,0.03,30,100
110+05755,6/14/13 13:15,25.93,26,34,0.51,30,100
110N04131,6/14/13 13:15,48.93,44,52,0.5,30,100
110P04161,6/14/13 13:15,40.73,41,42,0.03,30,100
110+04131,6/14/13 13:15,46.47,29,47,0.01,30,90.67
110-10237,6/14/13 13:15,24.2,25,32,0.15,22.67,26.67
110P04131,6/14/13 13:15,42.4,33,47,0.61,30,100
110N04645,6/14/13 13:15,58.8,57,62,0.62,30,86.2
110+05757,6/14/13 13:15,37,37,38,0.72,30,100
110-04614,6/14/13 13:15,63.47,54,64,0.16,30,100
110P04161,6/14/13 13:30,40.87,41,42,0.03,30,100
110-10237,6/14/13 13:30,25,25,32,0.14,20,0
110P04131,6/14/13 13:30,40.93,33,47,0.63,30,100
110+04131,6/14/13 13:30,46.73,29,47,0.01,30,94.4
110-05756,6/14/13 13:30,40.2,37,38,0.67,30,93.6
110+04303,6/14/13 13:30,54.53,55,60,0.09,30,100
110P04645,6/14/13 13:30,63.93,60,61,0.75,30,100
110+04614,6/14/13 13:30,60.6,59,62,0.14,30,100
110N04161,6/14/13 13:30,27.53,45,47,0.05,30,76.6
110N04131,6/14/13 13:30,49.6,44,52,0.49,30,100
110N04645,6/14/13 13:30,61.47,57,62,0.6,30,95.27
110-05754,6/14/13 13:30,39,31,36,0.34,30,85.6
110+05757,6/14/13 13:30,37,37,38,0.72,28,80
110+10238,6/14/13 13:30,29.13,29,32,0.12,20.67,6.67
110-04614,6/14/13 13:30,62.87,54,64,0.16,30,100
110+05755,6/14/13 13:30,29.2,26,34,0.45,30,100
110+04614,6/14/13 13:45,63.8,59,62,0.14,30,100
110+04303,6/14/13 13:45,71.8,55,60,0.07,30,21.53
110N04161,6/14/13 13:45,41.4,45,47,0.03,30,95.93
110-05756,6/14/13 13:45,39.4,37,38,0.68,30,93.33
110-10237,6/14/13 13:45,25,25,32,0.14,20,0
110+05757,6/14/13 13:45,36,37,38,0.74,30,100
110N04131,6/14/13 13:45,49.2,44,52,0.5,30,100
110N04645,6/14/13 13:45,63.13,57,62,0.58,30,88.93
110P04131,6/14/13 13:45,42.4,33,47,0.61,30,94.67
110+04131,6/14/13 13:45,51.07,29,47,0.01,30,56
110+10238,6/14/13 13:45,31,29,32,0.12,30,100
110P04161,6/14/13 13:45,39.2,41,42,0.03,30,100
110-04614,6/14/13 13:45,63.6,54,64,0.16,30,100
110+05755,6/14/13 13:45,24.8,26,34,0.53,30,100
110-05754,6/14/13 13:45,34.2,31,36,0.39,30,100
110P04645,6/14/13 13:45,65.07,60,61,0.74,30,100
110-05754,6/14/13 14:00,34.47,31,36,0.38,30,98.4
110P04161,6/14/13 14:00,42.07,40,42,0.03,30,93.4
