"System","Agency","Standardized Type","Agency-specific Type","Location","County","Latitude","Longitude","Open/Closed","Time Opened","Time Closed","Duration","Operator Notes","Notifications Sent","Responders","VMS Used","Vehicles Involved","Max Lanes Closed"
"VDOT NOVA","VADOT","Traffic Congestion","incident","I-66E east @ MM 46.000","Prince William","38.79984","-77.5421","Closed","9/25/14 6:12 AM","9/25/14 9:54 AM","3 hours 41 minutes","","","","","",""
"Virginia 511","VADOT","Bridge Maintenance Operations","Work Zone","I-95S south @ MM 73.000","Chesterfield","37.519415","-77.426784","Closed","9/25/14 7:52 AM","9/26/14 12:36 AM","16 hours 43 minutes","","","","","","1"
"Virginia 511","VADOT","Bridge Maintenance Operations","Work Zone","BUS US-220N (4 Martinsville/Henry) north @ MM 8.700","Henry","36.730158","-79.92142","Closed","9/25/14 9:18 AM","9/25/14 3:19 PM","6 hours","","","","","",""
"Virginia 511","VADOT","Bridge Maintenance Operations","Work Zone","US-460W west @ MM 83.500","Giles","37.375527","-80.846633","Closed","9/25/14 9:23 AM","9/26/14 9:58 AM","1 day 34 minutes","","","","","","1"
"Virginia 511","VADOT","Bridge Maintenance Operations","Work Zone","I-77N north","Bland","37.267269","-81.121856","Closed","9/25/14 6:20 AM","9/25/14 3:41 PM","9 hours 21 minutes","","","","","","1"
"Virginia 511","VADOT","Bridge Maintenance Operations","Work Zone","Rt. 635E (Botetourt County) east","Botetourt","37.549286","-79.833106","Closed","9/25/14 10:30 AM","9/26/14 6:17 PM","1 day 7 hours 47 minutes","","","","","","1"
"Virginia 511","VADOT","Collision","Incident","I-66W west @ MM 62.000","Fairfax (County)","38.877024","-77.276168","Closed","9/25/14 6:36 AM","9/25/14 7:45 AM","1 hour 9 minutes","","","","","1",""
"Virginia 511","VADOT","Collision","Incident","CHAIN BRIDGE RD south","Fairfax (County)","38.911912","-77.217856","Closed","9/25/14 6:48 AM","9/25/14 6:50 AM","1 minute","","","","","1",""
"Virginia 511","VADOT","Collision","Incident","I-66E east @ MM 48.000","Prince William","38.803904","-77.505648","Closed","9/25/14 8:28 AM","9/25/14 8:53 AM","24 minutes","","","","","2",""
"Virginia 511","VADOT","Collision","Incident","I-95S south @ MM 79.000","Richmond (City)","37.581512","-77.469624","Closed","9/25/14 8:02 AM","9/25/14 8:20 AM","18 minutes","","","","","1",""
"Virginia 511","VADOT","Collision","Incident","I-64W west @ MM 185.000","Henrico","37.603864","-77.502144","Closed","9/25/14 8:18 AM","9/25/14 8:35 AM","17 minutes","","","","","1",""
"Virginia 511","VADOT","Collision","Incident","I-81S south @ MM 29.400","Washington","36.772192","-81.780136","Closed","9/25/14 10:24 AM","9/25/14 11:49 AM","1 hour 24 minutes","","","","","2",""
"Virginia 511","VADOT","Collision","Incident","I-95S south @ MM 136.000","Stafford","38.364808","-77.468984","Closed","9/25/14 7:56 AM","9/25/14 8:31 AM","34 minutes","","","","","1",""
"Virginia 511","VADOT","Collision","Incident","US-29S south @ MM 57.400","Campbell","37.197668","-79.20364","Closed","9/25/14 10:56 AM","9/25/14 11:04 AM","7 minutes","","","","","1",""
"Virginia 511","VADOT","Collision","Incident","I-64W west @ MM 190.000","Richmond (City)","37.5554","-77.446992","Closed","9/25/14 8:25 AM","9/25/14 9:10 AM","45 minutes","","","","","1",""
"Virginia 511","VADOT","Collision","Incident","I-95N north @ MM 79.000","Richmond (City)","37.580772","-77.46904","Closed","9/25/14 8:54 AM","9/25/14 9:30 AM","35 minutes","","","","","2",""
"Virginia 511","VADOT","Collision","Incident","Rt. 631E (Patrick County) east","Patrick","36.639932","-80.27144","Closed","9/25/14 8:28 AM","9/25/14 9:33 AM","1 hour 4 minutes","","","","","1",""
"Virginia 511","VADOT","Collision","Incident","US-58W west @ MM 383.300","Brunswick","36.705116","-78.003568","Closed","9/25/14 10:08 AM","9/25/14 12:11 PM","2 hours 2 minutes","","","","","2",""
"Virginia 511","VADOT","Collision","Incident","I-81S south @ MM 95.000","Pulaski","37.035676","-80.72624","Closed","9/25/14 7:41 AM","9/25/14 8:23 AM","41 minutes","","","","","1",""
"Virginia 511","VADOT","Collision","Incident","VA-130E east @ MM 25.300","Amherst","37.526564","-79.205144","Closed","9/25/14 7:23 AM","9/25/14 8:04 AM","40 minutes","","","","","1",""
"Virginia 511","VADOT","Collision","Incident","I-95N north @ MM 132.700","Stafford","38.32954","-77.499856","Closed","9/25/14 7:36 AM","9/25/14 8:22 AM","46 minutes","","","","","1",""
"Virginia 511","VADOT","Collision","Incident","I-81S south @ MM 308.700","Frederick","39.10256","-78.203832","Closed","9/25/14 10:59 AM","9/25/14 12:23 PM","1 hour 23 minutes","","","","","1",""
"Virginia 511","VADOT","Collision","Incident","I-81N north @ MM 218.500","Augusta","38.0814","-79.08148","Closed","9/25/14 6:25 AM","9/25/14 7:04 AM","39 minutes","","","","","2",""
"Virginia 511","VADOT","Collision","Incident","I-95N north @ MM 142.900","Stafford","38.45474","-77.40776","Closed","9/25/14 6:33 AM","9/25/14 7:03 AM","29 minutes","","","","","2",""
"Virginia 511","VADOT","Collision","Incident","north","Fairfax (County)","38.8314","-77.218296","Closed","9/25/14 5:58 AM","9/25/14 7:23 AM","1 hour 25 minutes","","","","","1",""
"Virginia 511","VADOT","Collision","Incident","I-81S south @ MM 308.800","Frederick","39.103996","-78.203296","Closed","9/25/14 9:36 AM","9/25/14 11:30 AM","1 hour 54 minutes","","","","","1",""
"Virginia 511","VADOT","Collision","Incident","I-64W west @ MM 187.000","Richmond (City)","37.587872","-77.474392","Closed","9/25/14 6:58 AM","9/25/14 9:25 AM","2 hours 26 minutes","","","","","2",""
"Virginia 511","VADOT","Collision","Incident","CHAIN BRIDGE RD south","Fairfax (County)","38.911912","-77.217856","Closed","9/25/14 6:11 AM","9/25/14 6:48 AM","36 minutes","","","","","1",""
"Virginia 511","VADOT","Collision","Incident","VA-273N north @ MM 0.000","New Kent","37.460068","-76.84168","Closed","9/25/14 7:00 AM","9/25/14 9:28 AM","2 hours 28 minutes","","","","","2",""
"Virginia 511","VADOT","Collision","Incident","south","Fairfax (County)","38.821332","-77.22236","Closed","9/25/14 6:29 AM","9/25/14 6:49 AM","19 minutes","","","","","1",""
"Virginia 511","VADOT","Collision","Incident","VA-150S south @ MM 9.100","Chesterfield","37.443844","-77.437848","Closed","9/25/14 6:06 AM","9/25/14 6:45 AM","39 minutes","","","","","2",""
"Virginia 511","VADOT","Collision","Incident","VA-236W west @ MM 3.500","Fairfax (County)","38.839944","-77.261824","Closed","9/25/14 6:45 AM","9/25/14 8:21 AM","1 hour 36 minutes","","","","","2",""
"Virginia 511","VADOT","Collision","Incident","TELEGRAPH RD north","Alexandria (City)","38.803324","-77.07508","Closed","9/25/14 7:07 AM","9/25/14 8:21 AM","1 hour 13 minutes","","","","","1",""
"Virginia 511","VADOT","Collision","Incident","I-66E east @ MM 48.200","Prince William","38.805232","-77.502288","Closed","9/25/14 7:03 AM","9/25/14 7:12 AM","9 minutes","","","","","2",""
"Virginia 511","VADOT","Collision","Incident","I-66W west @ MM 31.000","Fauquier","38.85566","-77.801968","Closed","9/25/14 7:37 AM","9/25/14 8:17 AM","39 minutes","","","","","1",""
"Virginia 511","VADOT","Collision","Incident","I-81N north @ MM 246.300","Harrisonburg (City)","38.433228","-78.870688","Closed","9/25/14 7:22 AM","9/25/14 8:14 AM","51 minutes","","","","","2",""
"Virginia 511","VADOT","Collision","Incident","I-66E east @ MM 62.000","Fairfax (County)","38.8777","-77.27072","Closed","9/25/14 7:33 AM","9/25/14 7:39 AM","5 minutes","","","","","2",""
"Virginia 511","VADOT","Collision","Incident","I-395N north @ MM 6.000","Arlington","38.839504","-77.085928","Closed","9/25/14 9:29 AM","9/25/14 9:29 AM","Less than a minute","","","","","2",""
"Virginia 511","VADOT","Collision","Incident","I-95N north @ MM 135.900","Stafford","38.367416","-77.466992","Closed","9/25/14 7:11 AM","9/25/14 7:53 AM","42 minutes","","","","","2",""
"Virginia 511","VADOT","Collision","Incident","I-64E east @ MM 185.000","Henrico","37.600828","-77.499912","Closed","9/25/14 4:43 AM","9/25/14 5:06 AM","22 minutes","","","","","1",""
"Virginia 511","VADOT","Collision","Incident","I-66E east @ MM 57.000","Fairfax (County)","38.859276","-77.361264","Closed","9/25/14 7:25 AM","9/25/14 8:05 AM","39 minutes","","","","","2",""
"Virginia 511","VADOT","Collision","Incident","I-95S south @ MM 78.200","Richmond (City)","37.573816","-77.45992","Closed","9/25/14 8:10 AM","9/25/14 8:12 AM","1 minute","","","","","2",""
"Virginia 511","VADOT","Collision","Incident","I-95N north @ MM 152.000","Prince William","38.56904","-77.333992","Closed","9/25/14 5:03 AM","9/25/14 5:41 AM","38 minutes","","","","","1",""
"Virginia 511","VADOT","Collision","Incident","I-395N north @ MM 2.100","Fairfax (County)","38.810772","-77.148976","Closed","9/25/14 10:29 AM","9/25/14 11:10 AM","40 minutes","","","","","2",""
"Virginia 511","VADOT","Collision","Incident","US-17S south @ MM 56.700","Newport News (City)","37.08878","-76.459224","Closed","9/25/14 4:16 AM","9/25/14 4:57 AM","41 minutes","","","","","1",""
"Virginia 511","VADOT","Collision","Incident","I-66E east @ MM 60.000","Fairfax (County)","38.869196","-77.306312","Closed","9/25/14 9:41 AM","9/25/14 9:55 AM","14 minutes","","","","","2",""
"Virginia 511","VADOT","Collision","Incident","I-95N north @ MM 120.900","Spotsylvania","38.16436","-77.506192","Closed","9/25/14 5:30 AM","9/25/14 6:12 AM","41 minutes","","","","","1",""
"Virginia 511","VADOT","Collision","Incident","I-66E east @ MM 53.000","Fairfax (County)","38.846024","-77.433928","Closed","9/25/14 9:34 AM","9/25/14 9:34 AM","Less than a minute","","","","","2",""
"Virginia 511","VADOT","Collision","Incident","I-66E east @ MM 71.000","Arlington","38.883868","-77.119744","Closed","9/25/14 9:25 AM","9/25/14 10:17 AM","52 minutes","","","","","3",""
"Virginia 511","VADOT","Collision","Incident","I-95N north @ MM 147.200","Stafford","38.510476","-77.37676","Closed","9/25/14 5:48 AM","9/25/14 6:23 AM","35 minutes","","","","","1",""
"Virginia 511","VADOT","Collision","Incident","I-95S south @ MM 128.000","Spotsylvania","38.262672","-77.514736","Closed","9/25/14 8:17 AM","9/25/14 8:41 AM","24 minutes","","","","","1",""
"Virginia 511","VADOT","Collision","Incident","I-95N north @ MM 173.000","Fairfax (County)","38.796776","-77.131992","Closed","9/25/14 9:05 AM","9/25/14 9:59 AM","53 minutes","","","","","4",""
"Virginia 511","VADOT","Construction Work","Work Zone","I-195N north @ MM 3.500","Richmond (City)","37.57297","-77.475592","Closed","9/25/14 9:58 AM","9/25/14 1:35 PM","3 hours 37 minutes","","","","","",""
"Virginia 511","VADOT","Construction Work","Work Zone","US-29S south @ MM 126.500","Albemarle","37.962372","-78.651244","Closed","9/25/14 10:50 AM","9/25/14 3:49 PM","4 hours 59 minutes","","","","","","1"
"Virginia 511","VADOT","Construction Work","Work Zone","US-29S south @ MM 219.400","Prince William","38.80345","-77.584243","Closed","9/25/14 8:52 AM","9/25/14 4:46 PM","7 hours 53 minutes","","","","","",""
"Virginia 511","VADOT","Construction Work","Work Zone","I-77N north @ MM 24.200","Wythe","36.898126","-80.895713","Closed","9/25/14 7:32 AM","9/25/14 5:04 PM","9 hours 31 minutes","","","","","",""
"Virginia 511","VADOT","Disabled Vehicle","Incident","I-95N north @ MM 173.000","Fairfax (County)","38.796776","-77.131992","Closed","9/25/14 8:56 AM","9/25/14 9:14 AM","17 minutes","","","","","1",""
"Virginia 511","VADOT","Disabled Vehicle","Incident","I-95S south @ MM 160.000","Prince William","38.668028","-77.269064","Closed","9/25/14 9:11 AM","9/25/14 9:17 AM","6 minutes","","","","","1",""
"Virginia 511","VADOT","Disabled Vehicle","Incident","I-95N north @ MM 157.000","Prince William","38.629628","-77.292144","Closed","9/25/14 9:10 AM","9/25/14 9:20 AM","10 minutes","","","","","1",""
"Virginia 511","VADOT","Disabled Vehicle","Incident","I-66E east @ MM 56.700","Fairfax (County)","38.858288","-77.366728","Closed","9/25/14 8:22 AM","9/25/14 10:22 AM","1 hour 59 minutes","","","","","1",""
"Virginia 511","VADOT","Disabled Vehicle","Incident","I-66W west @ MM 53.900","Fairfax (County)","38.848924","-77.42004","Closed","9/25/14 9:35 AM","9/25/14 10:25 AM","49 minutes","","","","","1",""
"Virginia 511","VADOT","Disabled Vehicle","Incident","I-95N north @ MM 120.000","Spotsylvania","38.151316","-77.506152","Closed","9/25/14 9:17 AM","9/25/14 9:18 AM","Less than a minute","","","","","1",""
"Virginia 511","VADOT","Disabled Vehicle","Incident","I-95S south @ MM 164.000","Fairfax (County)","38.696984","-77.225968","Closed","9/25/14 8:08 AM","9/25/14 8:13 AM","5 minutes","","","","","1",""
"Virginia 511","VADOT","Disabled Vehicle","Incident","I-495N north @ MM 54.000","Fairfax (County)","38.810788","-77.217312","Closed","9/25/14 8:20 AM","9/25/14 8:33 AM","13 minutes","","","","","1",""
"Virginia 511","VADOT","Disabled Vehicle","Incident","I-95N north @ MM 124.400","Spotsylvania","38.2145","-77.498024","Closed","9/25/14 9:28 AM","9/25/14 9:29 AM","Less than a minute","","","","","1",""
"Virginia 511","VADOT","Disabled Vehicle","Incident","I-495N north @ MM 44.000","Fairfax (County)","38.94876","-77.1998","Closed","9/25/14 9:32 AM","9/25/14 9:32 AM","Less than a minute","","","","","1",""
"Virginia 511","VADOT","Disabled Vehicle","Incident","I-495N north @ MM 45.000","Fairfax (County)","38.935764","-77.20788","Closed","9/25/14 10:02 AM","9/25/14 10:02 AM","Less than a minute","","","","","1",""
"Virginia 511","VADOT","Disabled Vehicle","Incident","I-77S south @ MM 28.800","Wythe","36.9093","-80.885824","Closed","9/25/14 7:07 AM","9/25/14 7:18 AM","10 minutes","","","","","1",""
"Virginia 511","VADOT","Disabled Vehicle","Incident","I-95S south @ MM 163.700","Fairfax (County)","38.69166","-77.227016","Closed","9/25/14 10:04 AM","9/25/14 10:16 AM","12 minutes","","","","","1",""
