"timekey","glare","glarepotential","traffic_timestamp","tmc_crossing","avg"
"250","f","TruePM","2013-10-02 17:30:00","14th_Main","28.75"
"250","f","TruePM","2013-10-02 17:30:00","Chain","30.3333333333333"
"250","f","TruePM","2013-10-02 17:30:00","Key","24"
"250","f","TruePM","2013-10-02 17:30:00","Memorial","35.5"
"250","f","TruePM","2013-10-02 17:30:00","Roosevelt","40.25"
"251","f","TruePM","2013-10-02 17:40:00","14th_HOV","47.25"
"251","f","TruePM","2013-10-02 17:40:00","14th_Main","28.75"
"251","f","TruePM","2013-10-02 17:40:00","Chain","30.3333333333333"
"251","f","TruePM","2013-10-02 17:40:00","Key","24"
"251","f","TruePM","2013-10-02 17:40:00","Memorial","35.5"
"251","f","TruePM","2013-10-02 17:40:00","Roosevelt","40.25"
"252","f","TruePM","2013-10-02 17:50:00","14th_HOV","47.25"
"252","f","TruePM","2013-10-02 17:50:00","14th_Main","28.75"
"252","f","TruePM","2013-10-02 17:50:00","Chain","30.3333333333333"
"252","f","TruePM","2013-10-02 17:50:00","Key","24"
"252","f","TruePM","2013-10-02 17:50:00","Memorial","35.5"
"252","f","TruePM","2013-10-02 17:50:00","Roosevelt","40.25"
"253","f","TruePM","2013-10-02 18:00:00","14th_HOV","44.25"
"253","f","TruePM","2013-10-02 18:00:00","14th_Main","27.25"
"253","f","TruePM","2013-10-02 18:00:00","Chain","27.3333333333333"
"253","f","TruePM","2013-10-02 18:00:00","Key","20.5"
"253","f","TruePM","2013-10-02 18:00:00","Memorial","35"
"253","f","TruePM","2013-10-02 18:00:00","Roosevelt","37.5"
"254","f","TruePM","2013-10-02 18:10:00","14th_HOV","44.25"
"254","f","TruePM","2013-10-02 18:10:00","14th_Main","27.25"
"254","f","TruePM","2013-10-02 18:10:00","Chain","27.3333333333333"
"254","f","TruePM","2013-10-02 18:10:00","Key","20.5"
"254","f","TruePM","2013-10-02 18:10:00","Memorial","35"
"254","f","TruePM","2013-10-02 18:10:00","Roosevelt","37.5"
"255","f","TruePM","2013-10-02 18:20:00","14th_HOV","44.25"
"255","f","TruePM","2013-10-02 18:20:00","14th_Main","27.25"
"255","f","TruePM","2013-10-02 18:20:00","Chain","27.3333333333333"
"255","f","TruePM","2013-10-02 18:20:00","Key","20.5"
"255","f","TruePM","2013-10-02 18:20:00","Memorial","35"
"255","f","TruePM","2013-10-02 18:20:00","Roosevelt","37.5"
"256","f","TruePM","2013-10-02 18:30:00","14th_HOV","44.25"
"256","f","TruePM","2013-10-02 18:30:00","14th_Main","27.25"
"256","f","TruePM","2013-10-02 18:30:00","Chain","27.3333333333333"
"256","f","TruePM","2013-10-02 18:30:00","Key","20.5"
"256","f","TruePM","2013-10-02 18:30:00","Memorial","35"
"256","f","TruePM","2013-10-02 18:30:00","Roosevelt","37.5"
"257","f","TruePM","2013-10-02 18:40:00","14th_HOV","44.25"
"257","f","TruePM","2013-10-02 18:40:00","14th_Main","27.25"
"257","f","TruePM","2013-10-02 18:40:00","Chain","27.3333333333333"
"257","f","TruePM","2013-10-02 18:40:00","Key","20.5"
"257","f","TruePM","2013-10-02 18:40:00","Memorial","35"
"257","f","TruePM","2013-10-02 18:40:00","Roosevelt","37.5"
"332","f","TrueAM","2013-10-03 07:10:00","14th_HOV","45.5"
"332","f","TrueAM","2013-10-03 07:10:00","14th_Main","37.875"
"332","f","TrueAM","2013-10-03 07:10:00","Chain","30.6666666666667"
"332","f","TrueAM","2013-10-03 07:10:00","Key","28"
"332","f","TrueAM","2013-10-03 07:10:00","Memorial","37.5"
"332","f","TrueAM","2013-10-03 07:10:00","Roosevelt","41.75"
"333","f","TrueAM","2013-10-03 07:20:00","14th_HOV","45.5"
"333","f","TrueAM","2013-10-03 07:20:00","14th_Main","37.875"
"333","f","TrueAM","2013-10-03 07:20:00","Chain","30.6666666666667"
"333","f","TrueAM","2013-10-03 07:20:00","Key","28"
"333","f","TrueAM","2013-10-03 07:20:00","Memorial","37.5"
"333","f","TrueAM","2013-10-03 07:20:00","Roosevelt","41.75"
"334","f","TrueAM","2013-10-03 07:30:00","14th_HOV","45.5"
"334","f","TrueAM","2013-10-03 07:30:00","14th_Main","37.875"
"334","f","TrueAM","2013-10-03 07:30:00","Chain","30.6666666666667"
"334","f","TrueAM","2013-10-03 07:30:00","Key","28"
"334","f","TrueAM","2013-10-03 07:30:00","Memorial","37.5"
"334","f","TrueAM","2013-10-03 07:30:00","Roosevelt","41.75"
"335","f","TrueAM","2013-10-03 07:40:00","14th_HOV","45.5"
"335","f","TrueAM","2013-10-03 07:40:00","14th_Main","37.875"
"335","f","TrueAM","2013-10-03 07:40:00","Chain","30.6666666666667"
"335","f","TrueAM","2013-10-03 07:40:00","Key","28"
"335","f","TrueAM","2013-10-03 07:40:00","Memorial","37.5"
"335","f","TrueAM","2013-10-03 07:40:00","Roosevelt","41.75"
"336","f","TrueAM","2013-10-03 07:50:00","14th_HOV","45.5"
"336","f","TrueAM","2013-10-03 07:50:00","14th_Main","37.875"
"336","f","TrueAM","2013-10-03 07:50:00","Chain","30.6666666666667"
"336","f","TrueAM","2013-10-03 07:50:00","Key","28"
"336","f","TrueAM","2013-10-03 07:50:00","Memorial","37.5"
"336","f","TrueAM","2013-10-03 07:50:00","Roosevelt","41.75"
"337","t","TrueAM","2013-10-03 08:00:00","14th_HOV","39.25"
"337","t","TrueAM","2013-10-03 08:00:00","14th_Main","32.25"
"337","t","TrueAM","2013-10-03 08:00:00","Chain","25"
"337","t","TrueAM","2013-10-03 08:00:00","Key","22"
"337","t","TrueAM","2013-10-03 08:00:00","Memorial","35.5"
"337","t","TrueAM","2013-10-03 08:00:00","Roosevelt","34.25"
"338","t","TrueAM","2013-10-03 08:10:00","14th_HOV","39.25"
"338","t","TrueAM","2013-10-03 08:10:00","14th_Main","32.25"
"338","t","TrueAM","2013-10-03 08:10:00","Chain","25"
"338","t","TrueAM","2013-10-03 08:10:00","Key","22"
"338","t","TrueAM","2013-10-03 08:10:00","Memorial","35.5"
"338","t","TrueAM","2013-10-03 08:10:00","Roosevelt","34.25"
"339","t","TrueAM","2013-10-03 08:20:00","14th_HOV","39.25"
"339","t","TrueAM","2013-10-03 08:20:00","14th_Main","32.25"
"339","t","TrueAM","2013-10-03 08:20:00","Chain","25"
"339","t","TrueAM","2013-10-03 08:20:00","Key","22"
"339","t","TrueAM","2013-10-03 08:20:00","Memorial","35.5"
"339","t","TrueAM","2013-10-03 08:20:00","Roosevelt","34.25"
"340","t","TrueAM","2013-10-03 08:30:00","14th_HOV","39.25"
"340","t","TrueAM","2013-10-03 08:30:00","14th_Main","32.25"
"340","t","TrueAM","2013-10-03 08:30:00","Chain","25"
"340","t","TrueAM","2013-10-03 08:30:00","Key","22"
"340","t","TrueAM","2013-10-03 08:30:00","Memorial","35.5"
"340","t","TrueAM","2013-10-03 08:30:00","Roosevelt","34.25"
"393","f","TruePM","2013-10-03 17:20:00","14th_HOV","44.25"
"393","f","TruePM","2013-10-03 17:20:00","14th_Main","27.625"
"393","f","TruePM","2013-10-03 17:20:00","Chain","30.6666666666667"
"393","f","TruePM","2013-10-03 17:20:00","Key","22.5"
"393","f","TruePM","2013-10-03 17:20:00","Memorial","36"
"393","f","TruePM","2013-10-03 17:20:00","Roosevelt","39.75"
"394","f","TruePM","2013-10-03 17:30:00","14th_HOV","44.25"
"394","f","TruePM","2013-10-03 17:30:00","14th_Main","27.625"
"394","f","TruePM","2013-10-03 17:30:00","Chain","30.6666666666667"
"394","f","TruePM","2013-10-03 17:30:00","Key","22.5"
"394","f","TruePM","2013-10-03 17:30:00","Memorial","36"
