Standardized Location,Location,Type,Start Time,Date,Time,Bucket Time,End Time,Duration (minutes),Latitude,Longitude,MM Matches,In/Out
14th St. Bridge,I-395N north @ MM 9.700,Traffic Congestion,10/23/13 7:13,10/23/13,7:13:00 AM,7:10:00 AM,10/23/13 9:49,177,38.87225,-77.04305,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,11/20/13 6:50,11/20/13,6:50:00 AM,6:50:00 AM,11/20/13 10:12,229,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,11/26/13 8:46,11/26/13,8:46:00 AM,8:50:00 AM,11/26/13 9:24,43,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,11/26/13 17:13,11/26/13,5:13:00 AM,5:10:00 AM,11/26/13 19:55,184,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,12/5/13 6:25,12/5/13,6:25:00 AM,6:30:00 AM,12/5/13 10:07,252,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,10/23/13 17:23,10/23/13,5:23:00 AM,5:20:00 AM,10/23/13 18:20,65,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,11/19/13 16:48,11/19/13,4:48:00 AM,4:50:00 AM,11/19/13 19:23,176,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,11/22/13 8:27,11/22/13,8:27:00 AM,8:30:00 AM,11/22/13 9:04,42,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,10/24/13 7:02,10/24/13,7:02:00 AM,7:00:00 AM,10/24/13 10:18,222,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395N north @ MM 9.700,Traffic Congestion,10/24/13 7:50,10/24/13,7:50:00 AM,7:50:00 AM,10/24/13 10:38,190,38.87225,-77.04305,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,11/19/13 7:30,11/19/13,7:30:00 AM,7:30:00 AM,11/19/13 10:06,177,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,11/18/13 18:28,11/18/13,6:28:00 AM,6:30:00 AM,11/18/13 19:04,41,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,10/24/13 15:32,10/24/13,3:32:00 AM,3:30:00 AM,10/24/13 15:54,25,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,10/24/13 17:33,10/24/13,5:33:00 AM,5:30:00 AM,10/24/13 18:04,35,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,10/22/13 7:48,10/22/13,7:48:00 AM,7:50:00 AM,10/22/13 10:17,169,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,11/21/13 17:46,11/21/13,5:46:00 AM,5:50:00 AM,11/21/13 18:05,22,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,12/6/13 6:55,12/6/13,6:55:00 AM,7:00:00 AM,12/6/13 10:00,210,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,10/25/13 8:44,10/25/13,8:44:00 AM,8:40:00 AM,10/25/13 9:58,84,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,11/18/13 7:28,11/18/13,7:28:00 AM,7:30:00 AM,11/18/13 10:03,176,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,12/7/13 18:27,12/7/13,6:27:00 AM,6:30:00 AM,12/7/13 21:10,185,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,12/9/13 7:52,12/9/13,7:52:00 AM,7:50:00 AM,12/9/13 8:44,59,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,12/11/13 8:00,12/11/13,8:00:00 AM,8:00:00 AM,12/11/13 10:43,185,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,12/4/13 7:12,12/4/13,7:12:00 AM,7:10:00 AM,12/4/13 10:10,202,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395N north @ MM 9.700,Traffic Congestion,11/15/13 9:14,11/15/13,9:14:00 AM,9:10:00 AM,11/15/13 10:11,65,38.87225,-77.04305,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,12/11/13 17:49,12/11/13,5:49:00 AM,5:50:00 AM,12/11/13 18:34,51,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,10/26/13 14:37,10/26/13,2:37:00 AM,2:40:00 AM,10/26/13 15:19,48,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,10/10/13 17:39,10/10/13,5:39:00 AM,5:40:00 AM,10/10/13 18:54,85,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,11/15/13 7:33,11/15/13,7:33:00 AM,7:30:00 AM,11/15/13 10:26,196,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,11/15/13 6:43,11/15/13,6:43:00 AM,6:40:00 AM,11/15/13 6:46,3,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395N north @ MM 9.700,Traffic Congestion,12/12/13 7:32,12/12/13,7:32:00 AM,7:30:00 AM,12/12/13 10:12,181,38.87225,-77.04305,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,12/12/13 8:24,12/12/13,8:24:00 AM,8:20:00 AM,12/12/13 10:13,124,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,10/23/13 6:39,10/23/13,6:39:00 AM,6:40:00 AM,10/23/13 10:11,240,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,12/12/13 17:49,12/12/13,5:49:00 AM,5:50:00 AM,12/12/13 19:25,109,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,10/10/13 8:02,10/10/13,8:02:00 AM,8:00:00 AM,10/10/13 10:27,164,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395N north @ MM 9.700,Traffic Congestion,10/10/13 8:01,10/10/13,8:01:00 AM,8:00:00 AM,10/10/13 9:54,128,38.87225,-77.04305,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,12/13/13 7:21,12/13/13,7:21:00 AM,7:20:00 AM,12/13/13 9:40,158,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,11/14/13 17:02,11/14/13,5:02:00 AM,5:00:00 AM,11/14/13 18:54,127,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395N north @ MM 9.700,Traffic Congestion,12/13/13 8:14,12/13/13,8:14:00 AM,8:10:00 AM,12/13/13 9:52,111,38.87225,-77.04305,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,10/27/13 13:08,10/27/13,1:08:00 AM,1:10:00 AM,10/27/13 16:36,236,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,12/13/13 15:48,12/13/13,3:48:00 AM,3:50:00 AM,12/13/13 18:32,186,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,10/9/13 17:04,10/9/13,5:04:00 AM,5:00:00 AM,10/9/13 19:22,156,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,10/27/13 18:24,10/27/13,6:24:00 AM,6:20:00 AM,10/27/13 18:53,33,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395N north @ MM 9.700,Traffic Congestion,11/14/13 7:14,11/14/13,7:14:00 AM,7:10:00 AM,11/14/13 10:37,230,38.87225,-77.04305,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,11/14/13 6:21,11/14/13,6:21:00 AM,6:20:00 AM,11/14/13 10:36,289,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,10/8/13 17:25,10/8/13,5:25:00 AM,5:30:00 AM,10/8/13 19:08,117,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395N north @ MM 9.700,Traffic Congestion,12/5/13 8:04,12/5/13,8:04:00 AM,8:00:00 AM,12/5/13 9:46,116,38.87225,-77.04305,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,10/28/13 8:03,10/28/13,8:03:00 AM,8:00:00 AM,10/28/13 9:27,95,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,12/16/13 8:26,12/16/13,8:26:00 AM,8:30:00 AM,12/16/13 9:38,82,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,11/13/13 14:47,11/13/13,2:47:00 AM,2:50:00 AM,11/13/13 17:23,177,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,11/13/13 8:21,11/13/13,8:21:00 AM,8:20:00 AM,11/13/13 9:57,109,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,10/7/13 17:01,10/7/13,5:01:00 AM,5:00:00 AM,10/7/13 18:56,130,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,10/29/13 7:14,10/29/13,7:14:00 AM,7:10:00 AM,10/29/13 10:01,189,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,11/12/13 7:18,11/12/13,7:18:00 AM,7:20:00 AM,11/12/13 9:29,148,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,12/18/13 17:11,12/18/13,5:11:00 AM,5:10:00 AM,12/18/13 19:19,145,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,10/30/13 6:53,10/30/13,6:53:00 AM,6:50:00 AM,10/30/13 10:09,222,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395N north @ MM 9.700,Traffic Congestion,10/30/13 7:50,10/30/13,7:50:00 AM,7:50:00 AM,10/30/13 10:10,159,38.87225,-77.04305,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,10/30/13 17:43,10/30/13,5:43:00 AM,5:40:00 AM,10/30/13 20:04,160,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,12/7/13 10:57,12/7/13,10:57:00 AM,11:00:00 AM,12/7/13 11:56,67,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395N north @ MM 9.700,Traffic Congestion,11/8/13 8:28,11/8/13,8:28:00 AM,8:30:00 AM,11/8/13 9:16,54,38.87225,-77.04305,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,12/20/13 7:09,12/20/13,7:09:00 AM,7:10:00 AM,12/20/13 7:29,23,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,12/20/13 7:32,12/20/13,7:32:00 AM,7:30:00 AM,12/20/13 9:00,100,38.873123,-77.043175,No Match,IN
14th St. Bridge,I-395 north,Traffic Congestion,10/31/13 6:46,10/31/13,6:46:00 AM,6:50:00 AM,10/31/13 9:07,160,38.873123,-77.043175,No Match,IN
