TMC_Crossing,Location,Type,Start_Time,End_Time,dur_mins,In_Out,Latitude,Longitude
14th_Main,I-395 north,Collision,9/7/2014 23:29,9/8/2014 0:14,45,IN,38.873123,-77.043175
14th_Main,I-395 south,Collision,9/16/2014 21:43,9/16/2014 22:51,68,OUT,38.873123,-77.043175
14th_Main,I-395 north,Collision,7/19/2014 15:31,7/19/2014 15:39,8,IN,38.873123,-77.043175
14th_Main,I-395 south,Collision,9/8/2014 8:56,9/8/2014 9:48,52,OUT,38.873123,-77.043175
14th_Main,I-395N north @ MM 9.700,Collision,7/14/2014 9:19,7/14/2014 10:29,70,IN,38.87225,-77.04305
14th_Main,I-395 north,Collision,9/9/2014 6:30,9/9/2014 7:20,50,IN,38.873123,-77.043175
14th_Main,I-395N north @ MM 9.700,Collision,7/15/2014 6:28,7/15/2014 7:11,43,IN,38.87225,-77.04305
14th_Main,I-395 north,Collision,9/3/2014 14:35,9/3/2014 15:03,28,IN,38.873123,-77.043175
14th_Main,I-395 north,Collision,9/3/2014 13:50,9/3/2014 14:24,34,IN,38.873123,-77.043175
14th_Main,I-395 north,Collision,9/12/2014 15:33,9/12/2014 15:55,22,IN,38.873123,-77.043175
14th_Main,I-395S south @ MM 9.700,Collision,7/21/2014 11:01,7/21/2014 13:17,136,OUT,38.873734,-77.044266
14th_Main,I-395 north,Collision,9/6/2014 0:33,,0,IN,38.873123,-77.043175
14th_Main,I-395 south,Collision,9/8/2014 5:57,9/8/2014 6:46,49,OUT,38.873123,-77.043175
14th_Main,I-395 north,Collision,8/29/2014 23:41,8/30/2014 0:29,48,IN,38.873123,-77.043175
14th_Main,I-395 south,Collision,7/17/2014 14:39,7/17/2014 15:06,27,OUT,38.873123,-77.043175
14th_Main,I-395 north,Collision,7/17/2014 14:40,7/17/2014 15:05,25,IN,38.873123,-77.043175
14th_Main,I-395N north @ MM 9.700,Collision,7/17/2014 16:28,7/17/2014 17:21,53,IN,38.87225,-77.04305
14th_Main,I-395S south @ MM 9.700,Collision,9/9/2014 0:49,9/9/2014 2:19,90,OUT,38.873734,-77.044266
14th_Main,I-395 north,Collision,7/18/2014 5:54,7/18/2014 6:42,48,IN,38.873123,-77.043175
14th_Main,I-395N north @ MM 9.700,Collision,7/30/2014 9:55,7/30/2014 10:00,5,IN,38.87225,-77.04305
14th_Main,I-395S south @ MM 9.700,Disabled Vehicle,9/10/2014 0:04,9/10/2014 1:20,76,OUT,38.873734,-77.044266
14th_Main,I-395N north @ MM 9.700,Disabled Vehicle,9/6/2014 17:04,9/6/2014 17:35,31,IN,38.87225,-77.04305
14th_Main,I-395 south,Disabled Vehicle,9/3/2014 9:30,9/3/2014 9:43,13,OUT,38.873123,-77.043175
14th_Main,I-395 north,Disabled Vehicle,8/30/2014 22:39,8/30/2014 23:04,25,IN,38.873123,-77.043175
14th_Main,I-395S south @ MM 9.700,Disabled Vehicle,8/30/2014 6:04,8/30/2014 6:44,40,OUT,38.873734,-77.044266
14th_Main,I-395N north @ MM 9.700,Disabled Vehicle,9/18/2014 18:14,9/18/2014 18:30,16,IN,38.87225,-77.04305
14th_Main,I-395S south @ MM 9.700,Disabled Vehicle,9/18/2014 22:57,9/18/2014 23:17,20,OUT,38.873734,-77.044266
14th_Main,I-395 south,Disabled Vehicle,8/27/2014 9:29,8/27/2014 10:31,62,OUT,38.873123,-77.043175
14th_Main,I-395S south @ MM 9.700,Disabled Vehicle,8/25/2014 8:06,8/25/2014 8:52,46,OUT,38.873734,-77.044266
14th_Main,I-395S south @ MM 9.700,Disabled Vehicle,9/6/2014 17:14,9/6/2014 19:00,106,OUT,38.873734,-77.044266
14th_Main,I-395 north,Disabled Vehicle,9/22/2014 9:31,9/22/2014 9:40,9,IN,38.873123,-77.043175
14th_Main,I-395 south,Disabled Vehicle,9/5/2014 19:47,9/5/2014 19:58,11,OUT,38.873123,-77.043175
14th_Main,I-395N north @ MM 9.700,Disabled Vehicle,8/20/2014 21:35,8/20/2014 21:46,11,IN,38.87225,-77.04305
14th_Main,I-395 north,Disabled Vehicle,8/8/2014 12:06,8/8/2014 12:21,15,IN,38.873123,-77.043175
14th_Main,I-395N north @ MM 9.700,Disabled Vehicle,8/8/2014 10:49,8/8/2014 11:09,20,IN,38.87225,-77.04305
14th_Main,I-395 north,Disabled Vehicle,7/4/2014 11:15,7/4/2014 11:40,25,IN,38.873123,-77.043175
14th_Main,I-395 north,Disabled Vehicle,8/5/2014 9:32,8/5/2014 9:49,17,IN,38.873123,-77.043175
14th_Main,I-395 north,Disabled Vehicle,7/4/2014 21:33,7/4/2014 22:25,52,IN,38.873123,-77.043175
14th_Main,I-395N north @ MM 9.700,Disabled Vehicle,7/5/2014 11:13,7/5/2014 11:40,27,IN,38.87225,-77.04305
14th_Main,I-395S south @ MM 9.700,Disabled Vehicle,8/1/2014 23:24,8/1/2014 23:50,26,OUT,38.873734,-77.044266
14th_Main,I-395 north,Disabled Vehicle,8/1/2014 20:53,8/1/2014 21:14,21,IN,38.873123,-77.043175
14th_Main,I-395 north,Disabled Vehicle,7/28/2014 15:04,7/28/2014 16:11,67,IN,38.873123,-77.043175
14th_Main,I-395 north,Disabled Vehicle,7/26/2014 7:14,7/26/2014 7:42,28,IN,38.873123,-77.043175
14th_Main,I-395 north,Disabled Vehicle,7/11/2014 18:04,7/11/2014 18:37,33,IN,38.873123,-77.043175
14th_Main,I-395N north @ MM 9.700,Incident,7/18/2014 19:15,7/18/2014 20:44,89,IN,38.87225,-77.04305
14th_Main,I-395 north,Incident,7/17/2014 14:16,7/17/2014 14:31,15,IN,38.873123,-77.043175
14th_Main,I-395 south,Incident,8/20/2014 5:20,8/20/2014 5:31,11,OUT,38.873123,-77.043175
14th_Main,I-395 south,Incident,7/11/2014 17:20,7/11/2014 18:23,63,OUT,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,7/15/2014 8:47,7/15/2014 9:38,51,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,7/17/2014 15:53,7/17/2014 17:04,71,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,7/15/2014 15:30,7/15/2014 18:35,185,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,9/12/2014 17:37,9/12/2014 18:01,24,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,9/15/2014 8:36,9/15/2014 10:25,109,IN,38.873123,-77.043175
14th_Main,I-395N north @ MM 9.700,Traffic Congestion,9/10/2014 15:21,9/10/2014 17:42,141,IN,38.87225,-77.04305
14th_Main,I-395 north,Traffic Congestion,9/10/2014 15:19,9/10/2014 17:42,143,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,9/10/2014 7:28,9/10/2014 10:58,210,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,7/17/2014 7:05,7/17/2014 10:01,176,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,9/16/2014 6:30,9/16/2014 8:15,105,IN,38.873123,-77.043175
14th_Main,I-395N north @ MM 9.700,Traffic Congestion,7/14/2014 8:29,7/14/2014 9:06,37,IN,38.87225,-77.04305
14th_Main,I-395 north,Traffic Congestion,9/9/2014 6:19,9/9/2014 10:21,242,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,7/18/2014 6:39,7/18/2014 9:09,150,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,9/16/2014 8:15,9/16/2014 10:23,128,IN,38.873123,-77.043175
14th_Main,I-395N north @ MM 9.700,Traffic Congestion,9/16/2014 8:16,9/16/2014 10:06,110,IN,38.87225,-77.04305
14th_Main,I-395 north,Traffic Congestion,9/8/2014 17:59,9/8/2014 18:41,42,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,7/18/2014 18:44,7/18/2014 19:42,58,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,9/11/2014 7:33,9/11/2014 12:13,280,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,9/6/2014 14:45,9/6/2014 15:30,45,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,7/16/2014 17:37,7/16/2014 18:41,64,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,7/22/2014 7:41,7/22/2014 10:12,151,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,9/17/2014 6:48,9/17/2014 10:29,221,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,7/22/2014 17:21,7/22/2014 19:43,142,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,9/12/2014 8:39,9/12/2014 9:34,55,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,9/4/2014 7:30,9/4/2014 9:26,116,IN,38.873123,-77.043175
14th_Main,I-395 south,Traffic Congestion,7/16/2014 16:27,7/16/2014 16:57,30,OUT,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,7/16/2014 7:38,7/16/2014 9:46,128,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,7/23/2014 8:21,7/23/2014 10:21,120,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,9/17/2014 16:30,9/17/2014 18:26,116,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,9/3/2014 6:54,9/3/2014 9:55,181,IN,38.873123,-77.043175
14th_Main,I-395 south,Traffic Congestion,7/11/2014 17:37,7/11/2014 18:12,35,OUT,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,9/18/2014 7:42,9/18/2014 10:15,153,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,7/19/2014 14:25,7/19/2014 16:17,112,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,7/11/2014 15:15,7/11/2014 16:15,60,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,9/8/2014 7:07,9/8/2014 9:22,135,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,9/2/2014 8:40,9/2/2014 9:53,73,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,9/18/2014 16:59,9/18/2014 21:08,249,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,8/29/2014 17:59,8/29/2014 18:20,21,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,8/29/2014 14:51,8/29/2014 16:19,88,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,7/10/2014 17:09,7/10/2014 18:59,110,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,7/25/2014 15:08,7/25/2014 19:53,285,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,7/21/2014 18:01,7/21/2014 18:48,47,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,8/28/2014 16:42,8/28/2014 18:42,120,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,8/28/2014 15:59,8/28/2014 16:19,20,IN,38.873123,-77.043175
14th_Main,I-395N north @ MM 9.700,Traffic Congestion,7/10/2014 8:10,7/10/2014 9:30,80,IN,38.87225,-77.04305
14th_Main,I-395 north,Traffic Congestion,9/5/2014 6:49,9/5/2014 8:59,130,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,9/4/2014 17:42,9/4/2014 19:03,81,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,9/22/2014 6:49,9/22/2014 7:38,49,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,9/22/2014 7:27,9/22/2014 9:55,148,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,8/27/2014 5:58,8/27/2014 8:41,163,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,7/9/2014 7:59,7/9/2014 9:38,99,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,9/23/2014 6:47,9/23/2014 10:15,208,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,8/26/2014 7:30,8/26/2014 9:19,109,IN,38.873123,-77.043175
14th_Main,I-395N north @ MM 9.700,Traffic Congestion,8/26/2014 7:29,8/26/2014 9:38,129,IN,38.87225,-77.04305
14th_Main,I-395 north,Traffic Congestion,7/29/2014 8:52,7/29/2014 9:55,63,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,9/23/2014 16:35,9/23/2014 19:14,159,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,9/24/2014 6:39,9/24/2014 9:46,187,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,7/8/2014 8:49,7/8/2014 10:40,111,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,7/30/2014 7:06,7/30/2014 10:23,197,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,8/24/2014 13:04,8/24/2014 14:14,70,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,8/23/2014 16:03,8/23/2014 19:19,196,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,7/31/2014 8:20,7/31/2014 9:40,80,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,9/24/2014 18:22,9/24/2014 19:53,91,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,7/24/2014 8:33,7/24/2014 10:09,96,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,9/25/2014 7:05,9/25/2014 10:29,204,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,8/22/2014 11:59,8/22/2014 19:18,439,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,7/31/2014 15:40,7/31/2014 20:03,263,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,8/21/2014 17:06,8/21/2014 18:17,71,IN,38.873123,-77.043175
14th_Main,I-395 north,Traffic Congestion,9/25/2014 15:02,9/25/2014 15:37,35,IN,38.873123,-77.043175
